"Time.ms","hearing_status_participant","value_cat","mean_prop_looking","ci_low","ci_high"
"0","deaf","Distractor",0,0,0
"0","deaf","Signer",1,0,0
"0","deaf","Target",0,0,0
"0","hearing","Distractor",0,0,0
"0","hearing","Signer",1,0,0
"0","hearing","Target",0,0,0
"33","deaf","Distractor",0,0,0
"33","deaf","Signer",1,0,0
"33","deaf","Target",0,0,0
"33","hearing","Distractor",0,0,0
"33","hearing","Signer",1,0,0
"33","hearing","Target",0,0,0
"67","deaf","Distractor",0,0,0
"67","deaf","Signer",1,0,0
"67","deaf","Target",0,0,0
"67","hearing","Distractor",0,0,0
"67","hearing","Signer",1,0,0
"67","hearing","Target",0,0,0
"100","deaf","Distractor",0,0,0
"100","deaf","Signer",0.9921875,0.015625,0.0078125
"100","deaf","Target",0.0078125,0.0078125,0.0234375
"100","hearing","Distractor",0.00699300699300699,0.00699300699300699,0.013986013986014
"100","hearing","Signer",0.993006993006993,0.013986013986014,0.00699300699300698
"100","hearing","Target",0,0,0
"133","deaf","Distractor",0.00284090909090909,0.00284090909090909,0.00568181818181818
"133","deaf","Signer",0.989346590909091,0.0184659090909091,0.0106534090909091
"133","deaf","Target",0.0078125,0.0078125,0.015625
"133","hearing","Distractor",0.00699300699300699,0.00699300699300699,0.013986013986014
"133","hearing","Signer",0.993006993006993,0.013986013986014,0.00699300699300698
"133","hearing","Target",0,0,0
"167","deaf","Distractor",0.00804924242424242,0.00804924242424242,0.0132575757575758
"167","deaf","Signer",0.984138257575758,0.0205965909090909,0.0158617424242424
"167","deaf","Target",0.0078125,0.0078125,0.015625
"167","hearing","Distractor",0.00769230769230769,0.00769230769230769,0.0153846153846154
"167","hearing","Signer",0.973076923076923,0.0461538461538461,0.0269230769230769
"167","hearing","Target",0.0192307692307692,0.0192307692307692,0.0384615384615385
"200","deaf","Distractor",0.00804924242424242,0.00804924242424242,0.0127840909090909
"200","deaf","Signer",0.984138257575758,0.0205965909090909,0.0158617424242424
"200","deaf","Target",0.0078125,0.0078125,0.015625
"200","hearing","Distractor",0.0153846153846154,0.0153846153846154,0.0230769230769231
"200","hearing","Signer",0.965384615384615,0.0461538461538462,0.0346153846153846
"200","hearing","Target",0.0192307692307692,0.0192307692307692,0.0384615384615385
"233","deaf","Distractor",0.00852272727272727,0.00852272727272727,0.0142045454545455
"233","deaf","Signer",0.983664772727273,0.0213068181818181,0.0163352272727273
"233","deaf","Target",0.0078125,0.0078125,0.015625
"233","hearing","Distractor",0.0146853146853147,0.0146853146853147,0.020979020979021
"233","hearing","Signer",0.959090909090909,0.05,0.0409090909090909
"233","hearing","Target",0.0262237762237762,0.0262237762237762,0.0384615384615385
"267","deaf","Distractor",0.00852272727272727,0.00852272727272727,0.0142045454545455
"267","deaf","Signer",0.983664772727273,0.0192116477272727,0.0163352272727273
"267","deaf","Target",0.0078125,0.0078125,0.015625
"267","hearing","Distractor",0.0146853146853147,0.0146853146853147,0.0216783216783217
"267","hearing","Signer",0.959090909090909,0.0472727272727272,0.0409090909090909
"267","hearing","Target",0.0262237762237762,0.0262237762237762,0.0384615384615385
"300","deaf","Distractor",0.0132575757575758,0.0132575757575758,0.0265151515151515
"300","deaf","Signer",0.978929924242424,0.028415009469697,0.0210700757575758
"300","deaf","Target",0.0078125,0.0078125,0.015625
"300","hearing","Distractor",0.0146853146853147,0.0146853146853147,0.0223776223776224
"300","hearing","Signer",0.959090909090909,0.0472027972027972,0.0409090909090909
"300","hearing","Target",0.0262237762237762,0.0262237762237762,0.0454545454545455
"333","deaf","Distractor",0.0132575757575758,0.0132575757575758,0.0208333333333333
"333","deaf","Signer",0.977813852813853,0.0297619047619048,0.0221861471861472
"333","deaf","Target",0.00892857142857143,0.00892857142857143,0.0178571428571429
"333","hearing","Distractor",0.0183483183483183,0.0183483183483183,0.0223776223776224
"333","hearing","Signer",0.951764901764902,0.0510402097902097,0.0344064269064268
"333","hearing","Target",0.0298867798867799,0.0298867798867799,0.0417915417915418
"367","deaf","Distractor",0.0142045454545455,0.0142045454545455,0.0255681818181818
"367","deaf","Signer",0.985795454545455,0.0227272727272727,0.0142045454545454
"367","deaf","Target",0,0,0
"367","hearing","Distractor",0.0183483183483183,0.0183483183483183,0.0213120213120213
"367","hearing","Signer",0.951764901764902,0.0503663003663004,0.0342490842490842
"367","hearing","Target",0.0298867798867799,0.0298867798867799,0.0454628704628705
"400","deaf","Distractor",0.0184659090909091,0.0184659090909091,0.0340909090909091
"400","deaf","Signer",0.970045120320856,0.0325451203208557,0.0271139705882353
"400","deaf","Target",0.0114889705882353,0.0114889705882353,0.0193014705882353
"400","hearing","Distractor",0.019047619047619,0.019047619047619,0.0223534798534798
"400","hearing","Signer",0.945238095238095,0.0461630036630036,0.0401098901098902
"400","hearing","Target",0.0357142857142857,0.0305860805860806,0.0410531135531135
"433","deaf","Distractor",0.0184659090909091,0.0184659090909091,0.03125
"433","deaf","Signer",0.970045120320856,0.0349264705882354,0.0262784090909091
"433","deaf","Target",0.0114889705882353,0.0114889705882353,0.0193014705882353
"433","hearing","Distractor",0.019047619047619,0.019047619047619,0.0230769230769231
"433","hearing","Signer",0.945238095238095,0.0452518315018314,0.041941391941392
"433","hearing","Target",0.0357142857142857,0.0305860805860806,0.0410302197802198
"467","deaf","Distractor",0.0184659090909091,0.0184659090909091,0.0340909090909091
"467","deaf","Signer",0.970045120320856,0.0377997576871658,0.0262784090909091
"467","deaf","Target",0.0114889705882353,0.0114889705882353,0.0157054227941176
"467","hearing","Distractor",0.0253413253413253,0.0253413253413253,0.032001332001332
"467","hearing","Signer",0.933233433233433,0.0636688311688312,0.0517482517482518
"467","hearing","Target",0.0414252414252414,0.0377622377622378,0.0583116883116883
"500","deaf","Distractor",0.0229301948051948,0.0229301948051948,0.035744724025974
"500","deaf","Signer",0.96558083460657,0.0377685733384263,0.0271139705882353
"500","deaf","Target",0.0114889705882353,0.0114889705882353,0.0193014705882353
