"Time.ms","age_group","value_cat","mean_prop_looking","ci_low","ci_high"
"0","< 27 Months","Distractor",0,0,0
"0","< 27 Months","Signer",1,0,0
"0","< 27 Months","Target",0,0,0
"0",">= 27 Months","Distractor",0,0,0
"0",">= 27 Months","Signer",1,0,0
"0",">= 27 Months","Target",0,0,0
"0","Adults","Distractor",0,0,0
"0","Adults","Signer",1,0,0
"0","Adults","Target",0,0,0
"33","< 27 Months","Distractor",0,0,0
"33","< 27 Months","Signer",1,0,0
"33","< 27 Months","Target",0,0,0
"33",">= 27 Months","Distractor",0,0,0
"33",">= 27 Months","Signer",1,0,0
"33",">= 27 Months","Target",0,0,0
"33","Adults","Distractor",0,0,0
"33","Adults","Signer",1,0,0
"33","Adults","Target",0,0,0
"67","< 27 Months","Distractor",0,0,0
"67","< 27 Months","Signer",1,0,0
"67","< 27 Months","Target",0,0,0
"67",">= 27 Months","Distractor",0,0,0
"67",">= 27 Months","Signer",1,0,0
"67",">= 27 Months","Target",0,0,0
"67","Adults","Distractor",0,0,0
"67","Adults","Signer",0.992781339031339,0.00749999999999995,0.00721866096866097
"67","Adults","Target",0.00721866096866097,0.00721866096866097,0.00731481481481481
"100","< 27 Months","Distractor",0,0,0
"100","< 27 Months","Signer",0.991071428571429,0.0178571428571429,0.0089285714285714
"100","< 27 Months","Target",0.00892857142857143,0.00892857142857143,0.0178571428571429
"100",">= 27 Months","Distractor",0.00606060606060606,0.00606060606060606,0.0121212121212121
"100",">= 27 Months","Signer",0.993939393939394,0.0121212121212122,0.0060606060606061
"100",">= 27 Months","Target",0,0,0
"100","Adults","Distractor",0,0,0
"100","Adults","Signer",0.983287545787546,0.0182105654761905,0.0167124542124542
"100","Adults","Target",0.0167124542124542,0.0167124542124542,0.0171130952380952
"133","< 27 Months","Distractor",0,0,0
"133","< 27 Months","Signer",0.991071428571429,0.0178571428571429,0.0089285714285714
"133","< 27 Months","Target",0.00892857142857143,0.00892857142857143,0.0178571428571429
"133",">= 27 Months","Distractor",0.00909090909090909,0.00909090909090909,0.0151515151515152
"133",">= 27 Months","Signer",0.990909090909091,0.0121212121212122,0.00909090909090904
"133",">= 27 Months","Target",0,0,0
"133","Adults","Distractor",0,0,0
"133","Adults","Signer",0.976263736263736,0.0289285714285715,0.0237362637362637
"133","Adults","Target",0.0237362637362637,0.0237362637362637,0.0267857142857143
"167","< 27 Months","Distractor",0.00595238095238095,0.00595238095238095,0.0119047619047619
"167","< 27 Months","Signer",0.967261904761905,0.0446428571428571,0.0327380952380952
"167","< 27 Months","Target",0.0267857142857143,0.0267857142857143,0.0446428571428571
"167",">= 27 Months","Distractor",0.0096969696969697,0.0096969696969697,0.0163636363636364
"167",">= 27 Months","Signer",0.99030303030303,0.0163787878787879,0.00969696969696965
"167",">= 27 Months","Target",0,0,0
"167","Adults","Distractor",0,0,0
"167","Adults","Signer",0.965477543290043,0.038183170995671,0.0288406385281386
"167","Adults","Target",0.0345224567099567,0.0288406385281385,0.0363621820887446
"200","< 27 Months","Distractor",0.0130952380952381,0.0130952380952381,0.019047619047619
"200","< 27 Months","Signer",0.960119047619048,0.043467261904762,0.0339285714285714
"200","< 27 Months","Target",0.0267857142857143,0.0267857142857143,0.0446428571428571
"200",">= 27 Months","Distractor",0.0096969696969697,0.0096969696969697,0.0133333333333333
"200",">= 27 Months","Signer",0.99030303030303,0.0163636363636364,0.00969696969696965
"200",">= 27 Months","Target",0,0,0
"200","Adults","Distractor",0,0,0
